Cod. Cliente;Loja;Município;UF;Zona
501215;1;SAO PAULO;SP;SP1101
501217;1;ITAPECERICA DA SERRA;SP;SP1123
501220;1;SAO PAULO;SP;SP1123
501233;1;SANTO ANASTACIO;SP;2208SP
501233;1;SANTO ANASTACIO;SP;SP2209
501240;1;SAO PAULO;SP;SP1124
501241;1;MARILIA;SP;SP2211
501245;1;SAO PAULO;SP;SP1105
501253;1;SAO PAULO;SP;SP1104
501259;1;MONGAGUA;SP;SP2215
501262;1;SAO PAULO;SP;1101SP
501262;1;SAO PAULO;SP;SP1104
501275;1;CAMPINAS;SP;SP2214
501280;1;SAO PAULO;SP;SP1123
501282;1;SAO PAULO;SP;SP1116
501287;1;MOGI DAS CRUZES;SP;SP2216
501290;1;SAO PAULO;SP;SP1116
501291;1;INUBIA PAULISTA;SP;SP2209
501299;1;SAO PAULO;SP;SP1107
501304;1;RIBEIRAO PRETO;SP;SP2212
501315;1;SAO PAULO;SP;SP1124
501317;1;PIRACICABA;SP;SP2217
501318;1;UCHOA;SP;SP2206
501319;1;PARAIBUNA;SP;SP2219
501326;1;ITAPEVA;SP;SP2215
501331;1;VARGEM GRANDE PAULISTA;SP;SP1108
501340;1;SANTO ANDRE;SP;SP1118
501348;1;EMBU DAS ARTES;SP;1106SP
501351;2;SANTANA DE PARNAIBA;SP;SP1119
501351;1;BARUERI;SP;SP1119
501354;1;GUARATINGUETA;SP;SP2219
501358;1;AMERICANA;SP;SP2210
501365;1;BARUERI;SP;SP1119
501366;1;CAMPINA DO MONTE ALEGRE;SP;SP2215
501370;1;RIBEIRAO PRETO;SP;SP2212
501373;1;SANTO ANDRE;SP;SP1118
501386;1;SAO PAULO;SP;SP1101
501388;1;AMERICANA;SP;SP2210
501392;1;OSASCO;SP;SP1109
501395;1;RIO GRANDE DA SERRA;SP;SP1118
501396;1;SAO PAULO;SP;SP1106
501397;1;SAO PAULO;SP;SP1112
501398;1;SAO PAULO;SP;SP1112
501412;1;SUZANO;SP;SP2216
501413;1;CUNHA;SP;SP2219
501415;1;ITAQUAQUECETUBA;SP;SP1116
501416;1;OSASCO;SP;SP1109
501439;1;SAO PAULO;SP;SP1124
501455;1;SAO JOSE DOS CAMPOS;SP;SP2219
501459;1;SAO BERNARDO DO CAMPO;SP;SP1103
501467;1;MOGI DAS CRUZES;SP;1100SP
501472;1;SAO PAULO;SP;SP1124
501479;1;LUCELIA;SP;SP2209
501485;1;SAO PAULO;SP;SP1101
501486;1;ITANHAEM;SP;SP2215
501492;1;SAO PAULO;SP;SP1121
501496;1;COTIA;SP;SP1108
501505;1;POA;SP;SP1106
501511;1;SAO PAULO;SP;SP1104
501513;1;TABOAO DA SERRA;SP;SP1123
501515;1;GALIA;SP;SP2211
501518;1;SANTANA DE PARNAIBA;SP;SP1119
501520;1;INDAIATUBA;SP;SP2214
501522;1;SAO PAULO;SP;SP1104
501545;1;OSASCO;SP;SP1109
501552;1;SAO PAULO;SP;SP1101
501561;1;PEDERNEIRAS;SP;SP2207
501563;1;SAO PAULO;SP;SP1104
501564;1;SAO PAULO;SP;SP1112
501568;1;SAO PAULO;SP;SP1124
501575;1;SAO PAULO;SP;SP1116
501587;6;SOROCABA;SP;SP2100
501587;1;SOROCABA;SP;SP2100
501588;1;ASSIS;SP;2208SP
501588;1;ASSIS;SP;SP2211
501593;1;GUARUJA;SP;SP1104
501595;1;SAO VICENTE;SP;1115SP
501595;1;SAO VICENTE;SP;SP1104
501597;1;SAO PAULO;SP;SP1122
501598;1;SAO CARLOS;SP;SP2218
501599;1;BADY BASSITT;SP;SP2206
501605;1;SAO PAULO;SP;SP1107
501606;1;PERUIBE;SP;SP2215
501629;1;LINS;SP;SP2211
501634;1;BRAGANCA PAULISTA;SP;SP2214
501639;1;MOGI DAS CRUZES;SP;SP2216
501644;1;SAO PAULO;SP;SP1116
501645;1;GUARULHOS;SP;SP1117
501653;1;SAO PAULO;SP;SP1121
501667;1;POTIRENDABA;SP;2206SP
501667;1;POTIRENDABA;SP;SP2206
501697;1;PIRACICABA;SP;SP2217
501698;1;VIRADOURO;SP;SP2212
501699;1;CARAPICUIBA;SP;SP1108
501717;1;BORBOREMA;SP;SP2211
501721;1;MAUA;SP;SP1106
